Title,Price,Availability,Rating,Price_GBP,Rating_Num,Title_Length,Word_Count
A Light in the Attic,£51.77,In Stock,Three,51.77,3,20,5
Tipping the Velvet,£53.74,In Stock,One,53.74,1,18,3
Soumission,£50.10,In Stock,One,50.1,1,10,1
Sharp Objects,£47.82,In Stock,Four,47.82,4,13,2
Sapiens: A Brief History of Humankind,£54.23,In Stock,Five,54.23,5,37,6
The Requiem Red,£22.65,In Stock,One,22.65,1,15,3
The Dirty Little Secrets of Getting Your Dream Job,£33.34,In Stock,Four,33.34,4,50,9
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,In Stock,Three,17.93,3,87,15
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,In Stock,Four,22.6,4,94,18
The Black Maria,£52.15,In Stock,One,52.15,1,15,3
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,In Stock,Two,13.99,2,46,6
Shakespeare's Sonnets,£20.66,In Stock,Four,20.66,4,21,2
Set Me Free,£17.46,In Stock,Five,17.46,5,11,3
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In Stock,Five,52.29,5,55,8
Rip it Up and Start Again,£35.02,In Stock,Five,35.02,5,25,6
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,In Stock,Three,57.25,3,82,13
Olio,£23.88,In Stock,One,23.88,1,4,1
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In Stock,One,37.59,1,53,7
Libertarianism for Beginners,£51.33,In Stock,Two,51.33,2,28,3
It's Only the Himalayas,£45.17,In Stock,Two,45.17,2,23,4
